NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,R,PLANETDISCMETH,DATE,MASS
Kepler-176 d,,0.170666,25.751974,,90,2454969.44951,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.223927,Transit,2014,0.019783
Kepler-319 d,,0.196363,31.781925,,90,2454967.86667,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.2043,Transit,2014,0.0173806
Kepler-80 d,,0.0413591,3.072186,,90,2454967.02149,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.155232,Transit,2014,0.0128437
Kepler-155 b,,0.0641261,5.931194,,90,2455007.79655,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.186457,Transit,2014,0.0155228
Kepler-342 d,,0.226833,39.459357,,90,2454969.46152,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.222143,Transit,2014,0.0195472
CoRoT-4 b,0.717419,0.0903166,9.20205,0,90,2454141.36416,63,Moutou 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M,Moutou 2008 ; Aigrain 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M ; http://adsabs.harvard.edu/abs/2008A%26A...488L..43A,1.19,Transit,2008,0.717419
HAT-P-19 b,0.292129,0.0466409,4.008778,0.067,256,2454798.988,42,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,1.132,Transit,2011,0.292273
Kepler-24 c,,0.105496,12.3318,0,90,2454970.586,,Ford 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..113F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.249577,Transit,2011,0.0236121
Kepler-47 c,,0.895669,303.158,0,,,,Orosz 2012,http://adsabs.harvard.edu/abs/2012Sci...337.1511O,Orosz 2012,http://adsabs.harvard.edu/abs/2012Sci...337.1511O,0.419091,Transit,2012,0.0729242
Kepler-133 c,,0.195273,31.517586,,90,2455018.15322,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.253368,Transit,2014,0.0242535
Kepler-33 f,,0.253499,41.02902,0,90,2455005.5,,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.39754,Transit,2011,0.0654095
Kepler-116 b,,0.0643964,5.968734,,90,2454970.15762,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.305112,Transit,2014,0.0353405
Kepler-107 c,,0.0564705,4.901425,,90,2454971.60742,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.161477,Transit,2014,0.0133325
Kepler-84 e,,0.178021,27.434389,,90,2454978.1254,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.231956,Transit,2014,0.0208911
Kepler-315 b,,0.410606,96.101141,,90,2455020.73232,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.336337,Transit,2014,0.0445124
KIC 11442793 f,,0.519687,124.9144,,,,,Cabrera 2014,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,0.26,Transit,2013,0.0254263
Kepler-170 b,,0.0778294,7.930592,,90,2455002.51582,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.285485,Transit,2014,0.0305853
Kepler-36 c,,0.128401,16.23855,0,90,2454955.9132,,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,0.327926,Transit,2012,0.025489
Kepler-247 d,,0.146486,20.477912,,90,2455011.66798,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.351503,Transit,2014,0.0497576
Kepler-136 b,,0.100165,11.5789,,90,2455008.58649,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.182889,Transit,2014,0.0151834
XO-2 b,0.566435,0.0368367,2.615838,0,90,2454147.74902,85,Burke 2007,http://adsabs.harvard.edu/abs/2007ApJ...671.2115B,Burke 2007,http://adsabs.harvard.edu/abs/2007ApJ...671.2115B,0.983,Transit,2007,0.56654
Kepler-305 d,,0.128062,16.738661,,90,2455192.41608,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.24177,Transit,2014,0.0223552
Kepler-120 c,,0.107059,12.794585,,90,2454963.76464,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.136497,Transit,2014,0.0125754
Kepler-393 b,,0.0858179,9.182417,,90,2454967.04813,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.115086,Transit,2014,0.00711292
Kepler-96 b,0.0261659,0.125499,16.23844,0,90,,2.1,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,0.238201,Transit,2014,0.0261659
Kepler-11 d,0.0191935,0.154764,22.6845,0.0036055,146.31,2455597.533,1.426,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,0.2781,Transit,2011,0.0229683
WASP-63 b,0.377818,0.0574592,4.37808,0,90,2455921.6527,39,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,1.43,Transit,2012,0.378096
Kepler-30 b,,0.185524,29.334,0.042,329,2455237.133,,Sanchis-Ojeda 2012,http://adsabs.harvard.edu/abs/2012Natur.487..449S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.347625,Transit,2011,0.035557
Kepler-214 c,,0.183794,28.7798,,90,2455026.30447,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.190026,Transit,2014,0.0158724
