NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,R,PLANETDISCMETH,DATE,MASS
HD 73256 b,1.86902,0.0371348,2.5485799,0.029,337.3,2452500.18,269,Udry 2003,http://adsabs.harvard.edu/abs/2003A%26A...407..679U,Udry 2003,http://adsabs.harvard.edu/abs/2003A%26A...407..679U,,RV,2003,1.86902
6 Lyn b,2.20888,2.18639,874.774,0.059,314.9,2454024.5,31.52,Bowler 2010,http://adsabs.harvard.edu/abs/2010ApJ...709..396B,Sato 2008 ; Johnson 2008,http://adsabs.harvard.edu/abs/2008PASJ...60.1317S ; http://adsabs.harvard.edu/abs/2008ApJ...675..784J,,RV,2008,2.20888
HD 180314 b,22.6261,1.45528,396.03,0.257,303.1,2453565.9,340.8,Sato 2010,http://adsabs.harvard.edu/abs/2010PASJ...62.1063S,Sato 2010,http://adsabs.harvard.edu/abs/2010PASJ...62.1063S,,RV,2010,22.6261
HD 17092 b,4.96206,1.30798,359.89999,0.166,347.4,2452969.5,82.4,Niedzielski 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1354N,Niedzielski 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1354N,,RV,2007,4.96206
HIP 57274 b,0.0365708,0.0712798,8.1352,0.187,81,2454801.015,4.64,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,,RV,2012,0.0365708
HD 202206 b,16.8244,0.811776,255.87,0.435,161.18,2452175.3356994856,564.75,Correia 2005,http://adsabs.harvard.edu/abs/2005A%26A...440..751C,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,,RV,2002,16.8244
HD 108874 c,1.02837,2.72021,1680.3835,0.273039,10.4522,2452797.335,18.8971,Wright 2009,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,,RV,2005,1.02837
HD 200964 c,0.945722,2.00121,825,0.181,182.6,2455000,15.42,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,,RV,2011,0.945722
HD 10180 h,0.206033,3.42452,2248,0.151,184,2453619.1739,3.11,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,,RV,2011,0.206033
HD 33142 b,1.41137,1.09038,326.6,0.12,138,2455324,30.4,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,RV,2011,1.41137
HD 7924 b,0.0291185,0.0566409,5.3978,0.17,25,2454727.27,3.87,Howard 2009,http://adsabs.harvard.edu/abs/2009ApJ...696...75H,Howard 2009,http://adsabs.harvard.edu/abs/2009ApJ...696...75H,,RV,2009,0.0291185
HD 99109 b,0.504198,1.10806,439.3,0.09,256,2451310,14.1,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,RV,2006,0.504198
HD 10647 b,0.925037,2.02175,1003,0.16,336,2450960,17.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,RV,2006,0.925037
upsilon And c,1.91855,0.830445,241.33335,0.223848,250.76,2454265.567,53.6229,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Butler 1999,http://adsabs.harvard.edu/abs/1999ApJ...526..916B,,RV,1999,1.91855
HD 170469 b,0.668676,2.23538,1145,0.11,34,2451669,12,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,,RV,2007,0.668676
HD 88133 b,0.296108,0.0469104,3.41587,0.133,349,2453016.31,36.1,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Fischer 2005,http://adsabs.harvard.edu/abs/2005ApJ...620..481F,,RV,2005,0.296108
HD 196885 b,2.9439,2.54171,1333,0.48,78,2452554,53.9,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Correia 2008,http://adsabs.harvard.edu/abs/2008A%26A...479..271C,,RV,2008,2.9439
24 Sex b,1.83564,1.4118,455.2,0.184,227,2454758,33.2,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,,RV,2011,1.83564
HD 190228 b,5.94193,2.60478,1136.1,0.531,101.2,2453522,91.4,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Perrier 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1039P,,RV,2003,5.94193
HD 181720 b,0.37199,1.84741,956,0.26,177,2453631,8.4,Santos 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..47S,Santos 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..47S,,RV,2010,0.37199
55 Cnc c,0.164558,0.237305,44.38,0.07,356,2453083,10.12,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E,Marcy 2002,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,,RV,2002,0.164558
HD 156411 b,0.732711,1.87545,842.2,0.22,45,2454356,14,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,RV,2010,0.732711
91 Aqr b,3.07016,0.688457,181.4,0.027,177.3,2453472.1,91.5,Mitchell 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A..87M,Mitchell 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A..87M,,RV,2013,3.07016
HD 27894 b,0.617925,0.122117,17.990999,0.049,132.9,2453275.46,58.1,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,,RV,2005,0.617925
HD 156279 b,9.7848,0.494507,131.05,0.708,264.2,2455525.59,578,Diaz 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A.113D,Diaz 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A.113D,,RV,2012,9.7848
61 Vir d,0.0715929,0.474527,123.01,0.35,314,2453350.031126736,3.25,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,,RV,2010,0.0715929
HD 179079 b,0.0837774,0.119635,14.476,0.115,357,2454400.5,6.64,Valenti 2009,http://adsabs.harvard.edu/abs/2009ApJ...702..989V,Valenti 2009,http://adsabs.harvard.edu/abs/2009ApJ...702..989V,,RV,2009,0.0837774
HD 4113 b,1.64829,1.27266,526.62,0.903,317.7,2453778,97.1,Tamuz 2008,http://adsabs.harvard.edu/abs/2008A%26A...480L..33T,Tamuz 2008,http://adsabs.harvard.edu/abs/2008A%26A...480L..33T,,RV,2008,1.64829
HD 330075 b,0.623724,0.0392074,3.38773,0,0,2452878.815,107,Pepe 2004,http://adsabs.harvard.edu/abs/2004A%26A...423..385P,Pepe 2004,http://adsabs.harvard.edu/abs/2004A%26A...423..385P,,RV,2004,0.623724
HD 104985 b,4.9174,0.678014,199.505,0.09,203.5,2451927.5,166.8,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,Sato 2003,http://adsabs.harvard.edu/abs/2003ApJ...597L.157S,,RV,2003,4.9174
HD 87883 b,1.75571,3.57648,2754,0.53,291,2451139,34.7,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,,RV,2009,1.75571
HD 10180 g,0.0673813,1.42271,602,0,90,2454042.585,1.56,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,,RV,2011,0.0673813
HD 66428 b,2.74962,3.14259,1973,0.465,152.9,2452139,48.3,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,RV,2006,2.74962
HD 52265 b,1.07139,0.499878,119.29,0.325,243,2450833.7,42.1,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2000,http://adsabs.harvard.edu/abs/2000ApJ...545..504B,,RV,2000,1.07139
HD 16417 b,0.0669595,0.135435,17.24,0.2,77,2450099.74,5,O'Toole 2009,http://adsabs.harvard.edu/abs/2009ApJ...697.1263O,O'Toole 2009,http://adsabs.harvard.edu/abs/2009ApJ...697.1263O,,RV,2009,0.0669595
HD 205739 b,1.48708,0.894939,279.8,0.27,301,2453390.7,42,Lopez-Morales 2008,http://adsabs.harvard.edu/abs/2008AJ....136.1901L,Lopez-Morales 2008,http://adsabs.harvard.edu/abs/2008AJ....136.1901L,,RV,2008,1.48708
HD 216770 b,0.646927,0.455837,118.45,0.37,281,2452672,30.9,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,RV,2004,0.646927
HD 136418 b,1.9935,1.29111,464.3,0.255,12,2455228,44.7,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,RV,2010,1.9935
GJ 163 d,0.0926098,1.03037,603.95116,0.373,2.064,2452876.6622,4.42,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,,RV,2013,0.0926098
HD 188015 b,1.46957,1.19018,461.2,0.137,222,2451787,37.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,,RV,2005,1.46957
HD 10180 d,0.0376549,0.128581,16.3567,0.143,292,2454005.3799,2.93,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,,RV,2011,0.0376549
HD 9446 c,1.81548,0.65375,192.9,0.06,100,2454510,63.9,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A&A...513A..69H,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A&A...513A..69H,,RV,2010,1.81548
HD 37124 b,0.674371,0.533637,154.378,0.054,130,2450305,28.5,Wright 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...93W,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,RV,2000,0.674371
gamma Cep b,1.51728,1.9793,905.574,0.12,49.6,2453121.925,27.5,Hatzes 2003,http://adsabs.harvard.edu/abs/2003ApJ...599.1383H,Campbell 1988,http://adsabs.harvard.edu/abs/1988ApJ...331..902C,,RV,1988,1.51728
GJ 86 b,4.00104,0.114217,15.76491,0.0416,269,2451903.36,376.7,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Queloz 2000,http://adsabs.harvard.edu/abs/2000A%26A...354...99Q,,RV,2000,4.00104
HD 8574 b,1.80603,0.757141,227,0.297,26.6,2453981,58.3,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Perrier 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1039P,,RV,2003,1.80603
HD 82886 b,1.30477,1.58126,705,0.066,347,2455200,28.7,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,RV,2011,1.30477
HD 179949 b,0.902075,0.0439208,3.092514,0.022,192,2451002.36,112.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2001,http://adsabs.harvard.edu/abs/2001ApJ...551..507T,,RV,2001,0.902075
HD 2952 b,1.62021,1.22755,311.6,0.129,64,2450112,26.3,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S,,RV,2013,1.62021
HIP 14810 c,1.27518,0.545404,147.76916,0.153155,327.286,2454671.631,49.8989,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...699L..97W,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,,RV,2007,1.27518
HD 28678 b,1.8997,1.31659,387.1,0.168,128,2455517,33.5,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,RV,2011,1.8997
HD 96167 b,0.68457,1.34724,498.9,0.71,285,2453057,20.8,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P,,RV,2009,0.68457
HD 43197 b,0.596868,0.918027,327.8,0.83,251,2454713.8,32.4,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,RV,2010,0.596868
HD 37605 c,3.36552,3.81754,2720,0.013,221,2454838,48.9,Wang 2012,http://adsabs.harvard.edu/abs/2012ApJ...761...46W,Wang 2012,http://adsabs.harvard.edu/abs/2012ApJ...761...46W,,RV,2012,3.36552
HD 183263 b,3.57445,1.49006,626.516,0.35672,233.532,2452111.688,84.0443,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,,RV,2005,3.57445
11 Com b,16.1284,1.17872,326.03,0.231,94.8,2452899.6,302.8,Liu 2008,http://adsabs.harvard.edu/abs/2008ApJ...672..553L,Liu 2008,http://adsabs.harvard.edu/abs/2008ApJ...672..553L,,RV,2008,16.1284
HD 145377 b,5.78201,0.450064,103.95,0.307,138.1,2454635.4,242.7,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,RV,2009,5.78201
omicron CrB b,1.47736,0.826048,187.83,0.191,79,2452211,32.25,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,,RV,2012,1.47736
beta Gem b,2.75822,1.75739,589.64001,0.02,354.58,2447739.02,41,Hatzes 2006,http://adsabs.harvard.edu/abs/2006A%26A...457..335H,Hatzes 1993,http://adsabs.harvard.edu/abs/1993ApJ...413..339H,,RV,1993,2.75822
Pr 201 b,0.540155,0.0565986,4.4264,0,90,2455992.861,58.1,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..33Q,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..33Q,,RV,2012,0.540155
47 UMa b,2.54589,2.10149,1078,0.032,334,2451917,48.4,Gregory 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403..731G,Butler 1996,http://adsabs.harvard.edu/abs/1996ApJ...464L.153B,,RV,1996,2.54589
HD 240210 b,7.28868,1.33364,501.75,0.15,277.49,2454486.76,161.89,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,,RV,2009,7.28868
HD 109749 b,0.27467,0.0629198,5.24,0,0,2453013.55,28.3,Fischer 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F,Fischer 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F,,RV,2006,0.27467
HD 45364 c,0.658513,0.897549,342.85,0.0974,7.41,2453250.376643117,21.92,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,,RV,2009,0.658513
HD 159243 c,1.9,0.804743,248.4,0.075,69,2456484,56.6,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,,RV,2013,1.9
GJ 3470 b,0.0439856,0.0356088,3.336649,0,90,2456340.72559,9.01,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B,0.374365,RV,2012,0.0440093
HD 96127 b,4.00701,1.42112,647.3,0.3,162,2453969.4,104.8,Gettel 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,Gettel 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,,RV,2012,4.00701
HD 17156 b,3.30035,0.163197,21.21663,0.6819,121.9,2454757.00787,279.8,Barbieri 2009,http://adsabs.harvard.edu/abs/2009A%26A...503..601B,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,1.02,RV,2007,3.30275
HD 16760 b,13.2921,1.08727,465.1,0.067,232,2454723,408,Sato 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..671S,Sato 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..671S,,RV,2009,13.2921
HD 30562 b,1.33254,2.34083,1157,0.76,81,2450131.5,33.7,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,,RV,2009,1.33254
epsilon CrB b,6.04937,1.23696,417.9,0.11,133.1,2451235.3,129.4,Lee 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A...5L,Lee 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A...5L,,RV,2012,6.04937
omicron UMa b,4.09607,3.94973,1630,0.13,58,2453400,33.6,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,,RV,2012,4.09607
HD 102195 b,0.452799,0.0479747,4.113775,0,0,2453895.96,63,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,Ge 2006,http://adsabs.harvard.edu/abs/2006ApJ...648..683G,,RV,2006,0.452799
HD 75289 b,0.46004,0.047858,3.509267,0.034,141,2450830.34,54.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Udry 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..590U,,RV,2000,0.46004
HD 185269 b,0.954212,0.0765701,6.8378503,0.295952,171.817,2453154.089,90.692,Johnson 2006,http://adsabs.harvard.edu/abs/2006ApJ...652.1724J,Johnson 2006,http://adsabs.harvard.edu/abs/2006ApJ...652.1724J,,RV,2006,0.954212
BD -10 3166 b,0.429903,0.0437823,3.48777,0.019,334,2451171.22,60.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2000,http://adsabs.harvard.edu/abs/2000ApJ...545..504B,,RV,2000,0.429903
HD 190360 b,1.53512,3.97285,2915.0369,0.313105,12.9274,2453541.662,23.2383,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Naef 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1051N,,RV,2003,1.53512
HAT-P-13 c,14.2696,1.22574,446.27,0.6616,175.29,2455335.448,440,Winn 2010,http://adsabs.harvard.edu/abs/2010ApJ...718..575W,Bakos 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..446B,,RV,2009,14.2696
GJ 317 b,1.26045,0.953099,692,0.11,342,2451550.9925,75.2,Anglada-Escude 2012,http://adsabs.harvard.edu/abs/2012ApJ...746...37A,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...670..833J,,RV,2007,1.26045
HD 37605 b,2.80174,0.283337,55.01307,0.6767,220.86,2453378.241,202.99,Wang 2012,http://adsabs.harvard.edu/abs/2012ApJ...761...46W,Cochran 2004,http://adsabs.harvard.edu/abs/2004ApJ...611L.133C,,RV,2004,2.80174
HD 125612 c,0.0580667,0.0522124,4.15474,0.27499,103.511,2454420.17287,7.165,Lo Curto 2010 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,,RV,2010,0.0580667
GJ 581 b,0.0499019,0.0406125,5.36865,0.031,251,2454753.95,12.65,Forveille 2011,http://xxx.lanl.gov/abs/1109.2505,Bonfils 2005,http://adsabs.harvard.edu/abs/2005A%26A...443L..15B,,RV,2005,0.0499019
HD 102117 b,0.169756,0.152077,20.8133,0.121,279,2450942.2,11.98,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2005,http://adsabs.harvard.edu/abs/2005ApJ...623.1171T,,RV,2005,0.169756
HD 189733 b,1.14039,0.0309953,2.21857567,0,90,2454279.436714,205,Bouchy 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..15B,Bouchy 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..15B,1.138,RV,2005,1.1436
HD 108863 b,2.76572,1.45325,443.4,0,177,2455516,45.2,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,RV,2011,2.76572
HD 1502 b,2.9072,1.27206,431.8,0.101,219,2455227,60.7,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,RV,2011,2.9072
HD 142022 b,4.46762,2.93163,1928,0.53,170,2450941,92,Eggenberger 2006,http://adsabs.harvard.edu/abs/2006A%26A...447.1159E,Eggenberger 2006,http://adsabs.harvard.edu/abs/2006A%26A...447.1159E,,RV,2006,4.46762
HD 212771 b,2.70016,1.16471,373.3,0.111,55,2454947,58.2,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,RV,2010,2.70016
HD 134987 b,1.56347,0.807929,258.18,0.233,352.7,2450071,49.5,Jones 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403.1703J,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,RV,2000,1.56347
HD 187123 c,1.9422,4.83146,3805.6705,0.252086,242.973,2453580.036,25.4708,Wright 2009,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,RV,2000,1.9422
HD 101930 b,0.299187,0.302019,70.459999,0.11,251,2453145,18.1,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,,RV,2005,0.299187
HD 131664 b,18.3282,3.17098,1951,0.638,149.7,2452060,359.5,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,RV,2009,18.3282
HIP 57050 b,0.297735,0.163506,41.397,0.314,238.1,2451544.1,37.8,Haghighipour 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..271H,Haghighipour 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..271H,,RV,2010,0.297735
HD 147018 c,6.59355,1.92274,1008,0.133,226.9,2455301,141.2,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,,RV,2010,6.59355
HD 92788 b,3.56392,0.951142,325.81,0.334,276.4,2450759.2,106,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F,,RV,2001,3.56392
HD 114613 b,0.506039,5.3109,3827,0.25,244,2455550.3,5.52,Wittenmyer 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.5525W,Wittenmyer 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.5525W,,RV,2014,0.506039
HD 154857 b,2.24797,1.2912,408.6,0.46,57,2453572.5,48.3,Wittenmyer 2007,http://adsabs.harvard.edu/abs/2014arXiv1401.5525W,McCarthy 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..575M,,RV,2004,2.24797
HD 163607 b,0.768857,0.359201,75.29,0.73,78.7,2454185,51.1,Giguere 2012,http://adsabs.harvard.edu/abs/2012ApJ...744....4G,Giguere 2012,http://adsabs.harvard.edu/abs/2012ApJ...744....4G,,RV,2012,0.768857
HD 19994 b,1.32681,1.30567,466.2,0.266,346,2453757,29.3,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,RV,2004,1.32681
HD 85512 b,0.0113953,0.260405,58.43,0.11,178,2455250.015,0.769,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,,RV,2011,0.0113953
HD 106252 b,6.95913,2.61147,1531,0.482,292.8,2453397.5,138.8,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Fischer 2002,http://adsabs.harvard.edu/abs/2002PASP..114..529F,,RV,2002,6.95913
18 Del b,10.298,2.58655,993.3,0.08,166.1,2451672,119.4,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,,RV,2008,10.298
HD 171028 b,1.98809,1.31895,550,0.59,304,2454187,60.6,Santos 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.112S,Santos 2007,http://adsabs.harvard.edu/abs/2007A%26A...474..647S,,RV,2007,1.98809
upsilon And d,4.11582,2.52452,1278.1218,0.267395,269.685,2453937.728,66.6805,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Butler 1999,http://adsabs.harvard.edu/abs/1999ApJ...526..916B,,RV,1999,4.11582
HIP 97233 b,19.8471,2.5395,1058.8,0.61,249.3,2455856.3,320.1,Jones 2014,http://adsabs.harvard.edu/abs/2015A%26A...573A...3J,Jones 2014,http://adsabs.harvard.edu/abs/2015A%26A...573A...3J,,Radial Velocity,2014,19.8471
GJ 3341 b,0.0208212,0.0892579,14.207,0.31,42.32,2455622.7,3.04,Astudillo-Defru 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A,Astudillo-Defru 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A,,Radial Velocity,2015,0.0208212
GJ 3293 b,0.081,0.143394,30.6,0.07,-103,2455638.7,9.6,Astudillo-Defru 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A,Astudillo-Defru 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A,,Radial Velocity,2015,0.081
Kepler-432 c,2.36402,1.17816,406.2,0.498,60.8,2456139.3,62.1,Quinn 2015,http://adsabs.harvard.edu/abs/2015ApJ...803...49Q,Ciceri 2015,http://adsabs.harvard.edu/abs/2015A%26A...573L...5C,,Radial Velocity,2015,2.36402
GJ 3293 c,0.081,0.363982,123.75,0.33,-21.4,2455687.8,6.4,Astudillo-Defru 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A,Astudillo-Defru 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A,,Radial Velocity,2015,0.081
mu Leo b,2.4,1.12966,357.8,0.09,227.1,2452921,52,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,,Raidal Velocity,2014,2.4
